statistic,kind,detector,source,D_L_Gpc,A_V,m_nuc,M_total_Msun,A_mag,recovery_fraction,mapped_prediction,binom_se,P_days,fwhm_days,template,threshold,n_inj,seed
v2-physical,spot_check,global_max,RGBiso,0.1,0.0,19.0,20000000000.0,1.689668,0.0150,0.0037,0.0086,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,spot_check,global_max,RGBiso,0.5,0.0,19.0,20000000000.0,0.152036,0.0150,0.0109,0.0086,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,spot_check,global_max,BSG,0.1,0.0,19.0,20000000000.0,6.918390,0.0100,0.0050,0.0070,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,spot_check,global_max,BSG,0.5,0.0,19.0,20000000000.0,3.471825,0.0050,0.0050,0.0050,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,spot_check,oracle_single_freq,RGBiso,0.1,0.0,19.0,20000000000.0,1.689668,0.0450,0.0398,0.0147,180.0,0.6666666666666666,sawtooth,0.126200,200,42
v2-physical,spot_check,oracle_single_freq,RGBiso,0.5,0.0,19.0,20000000000.0,0.152036,0.0250,0.0309,0.0110,180.0,0.6666666666666666,sawtooth,0.126200,200,42
v2-physical,spot_check,oracle_single_freq,BSG,0.1,0.0,19.0,20000000000.0,6.918390,0.0500,0.0350,0.0154,180.0,0.6666666666666666,sawtooth,0.126200,200,42
v2-physical,spot_check,oracle_single_freq,BSG,0.5,0.0,19.0,20000000000.0,3.471825,0.0400,0.0350,0.0139,180.0,0.6666666666666666,sawtooth,0.126200,200,42
v2-physical,spot_check,blind_harmonic_sum,RGBiso,0.1,0.0,19.0,20000000000.0,1.689668,0.0100,0.0052,0.0070,180.0,0.6666666666666666,sawtooth,0.804701,200,42
v2-physical,spot_check,blind_harmonic_sum,RGBiso,0.5,0.0,19.0,20000000000.0,0.152036,0.0050,0.0000,0.0050,180.0,0.6666666666666666,sawtooth,0.804701,200,42
v2-physical,spot_check,blind_harmonic_sum,BSG,0.1,0.0,19.0,20000000000.0,6.918390,0.0150,0.0050,0.0086,180.0,0.6666666666666666,sawtooth,0.804701,200,42
v2-physical,spot_check,blind_harmonic_sum,BSG,0.5,0.0,19.0,20000000000.0,3.471825,0.0050,0.0050,0.0050,180.0,0.6666666666666666,sawtooth,0.804701,200,42
v2-physical,amplitude_sweep,global_max,,,,,,0.020000,0.0350,,0.0130,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,amplitude_sweep,global_max,,,,,,0.031540,0.0150,,0.0086,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,amplitude_sweep,global_max,,,,,,0.049737,0.0250,,0.0110,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,amplitude_sweep,global_max,,,,,,0.078435,0.0050,,0.0050,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,amplitude_sweep,global_max,,,,,,0.123690,0.0200,,0.0099,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,amplitude_sweep,global_max,,,,,,0.195057,0.0000,,0.0000,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,amplitude_sweep,global_max,,,,,,0.307602,0.0100,,0.0070,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,amplitude_sweep,global_max,,,,,,0.485082,0.0000,,0.0000,180.0,0.6666666666666666,sawtooth,0.427687,200,42
v2-physical,amplitude_sweep,global_max,,,,,,0.764965,0.0200,,0.0099,180.0,0.6666666666666666,sawtooth,0.427687,200,42
